"BR","UF ","Tipo de trecho","Desc Coinc","Código","Local de Início","Local de Fim","km inicial","km final","Extensão","Superfície Federal","Obras","Federal Coincidente","Administração","Ato legal","Estadual Coincidente","Superfície Est. Coincidente","Jurisdição","Superfície","Unidade Local"
"010","TO","Eixo Principal","-","010BTO0272","ENTR TO-070(A)/255(A) (P/ BREJINHO DE NAZARÉ)","ENTR TO-255(B) (P/ MONTE DO CARMO)","401.6","408.1","6.5","PLA","","010BTO0272","Estadual","","TO-050","DUP","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0274","ENTR TO-255(B) (P/ MONTE DO CARMO)","FIM PISTA DUPLA PORTO NACIONAL","408.1","408.8","0.7","PLA","","010BTO0274","Estadual","","TO-050","DUP","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0276","FIM PISTA DUPLA PORTO NACIONAL","ENTR AV. IPANEMA (PALMAS)","408.8","448.3","39.5","PLA","","010BTO0276","Estadual","","TO-050","PAV","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0278","ENTR AV. IPANEMA (PALMAS)","ENTR AV TOCANTINS (PALMAS)","448.3","452.8","4.5","PLA","","010BTO0278","Municipal","","Municipal","PAV","Municipal","PLA",""
"010","TO","Eixo Principal","-","010BTO0280","ENTR AV TOCANTINS (PALMAS)","ENTR TO-020(A)/050(B)/070(B) (PALMAS)","452.8","464.3","11.5","DUP","","010BTO0280","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0285","ENTR TO-020(A)/050(B)/070(B) (PALMAS)","FIM PISTA DUPLA (PALMAS) *TRECHO URBANO*","464.3","466.7","2.4","PLA","","010BTO0285","Estadual","","TO-020","DUP","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0290","FIM PISTA DUPLA (PALMAS)","ENTR TO-020(B) (APARECIDA DO RIO NEGRO)","466.7","530.2","63.5","PLA","","010BTO0290","Estadual","","TO-020","PAV","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0295","ENTR TO-020(B) (APARECIDA DO RIO NEGRO)","FIM DA PAVIMENTAÇÃO","530.2","553.2","23","PAV","","010BTO0295","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0300","FIM DA PAVIMENTAÇÃO","CÓRREGO ALDEIA","553.2","565.6","12.4","LEN","","010BTO0300","Federal","","","","Federal","N_PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0305","CÓRREGO ALDEIA","INÍCIO DA PAVIMENTAÇÃO","565.6","605.9","40.3","LEN","","010BTO0305","Federal","","","","Federal","N_PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0310","INÍCIO DA PAVIMENTAÇÃO","ENTR TO-245(B) (RIO SONO)","605.9","633","27.1","PAV","","010BTO0310","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0313","ENTR TO-245(B) (RIO SONO)","INÍCIO TRAVESSIA RIO PERDIDA","633","634.6","1.6","PAV","","010BTO0313","Federal","","","","Federal","PAV","Palmas"
